<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130204;000000;1.5687000;1.5844000;1.5627000;1.5795000;0
20130211;000000;1.5796000;1.5810000;1.5457000;1.5504000;0
20130218;000000;1.5505000;1.5516000;1.5128000;1.5092000;0
20130225;000000;1.5092000;1.5222000;1.4982000;1.5044000;0
20130304;000000;1.5044000;1.5199000;1.4881000;1.4914000;0
20130311;000000;1.4914000;1.5177000;1.4829000;1.5122000;0
20130318;000000;1.5125000;1.5248000;1.5022000;1.5231000;0
20130325;000000;1.5225000;1.5267000;1.5089000;1.5187000;0
20130401;000000;1.5192000;1.5364000;1.5030000;1.5301000;0
20130408;000000;1.5300000;1.5411000;1.5235000;1.5334000;0
20130415;000000;1.5334000;1.5385000;1.5212000;1.5231000;0
20130422;000000;1.5230000;1.5499000;1.5192000;1.5494000;0
20130429;000000;1.5493000;1.5607000;1.5463000;1.5559000;0
20130506;000000;1.5556000;1.5598000;1.5310000;1.5354000;0
20130513;000000;1.5353000;1.5385000;1.5155000;1.5177000;0
20130520;000000;1.5172000;1.5281000;1.5010000;1.5129000;0
20130527;000000;1.5131000;1.5240000;1.5005000;1.5205000;0
20130603;000000;1.5208000;1.5684000;1.5174000;1.5525000;0
20130610;000000;1.5525000;1.5737000;1.5491000;1.5717000;0
20130617;000000;1.5714000;1.5751000;1.5364000;1.5381000;0
20130624;000000;1.5381000;1.5477000;1.5160000;1.5211000;0
20130701;000000;1.5210000;1.5304000;1.4855000;1.4892000;0
20130708;000000;1.4892000;1.5222000;1.4809000;1.5113000;0
20130715;000000;1.5105000;1.5282000;1.5023000;1.5264000;0
20130722;000000;1.5264000;1.5435000;1.5255000;1.5381000;0
20130729;000000;1.5379000;1.5414000;1.5099000;1.5285000;0
20130805;000000;1.5284000;1.5574000;1.5201000;1.5495000;0
20130812;000000;1.5496000;1.5657000;1.5418000;1.5616000;0
20130819;000000;1.5610000;1.5717000;1.5527000;1.5565000;0
20130826;000000;1.5565000;1.5612000;1.5426000;1.5534000;0
20130902;000000;1.5537000;1.5681000;1.5502000;1.5630000;0
20130909;000000;1.5631000;1.5885000;1.5602000;1.5879000;0
20130916;000000;1.5878000;1.6163000;1.5866000;1.6000000;0
20130923;000000;1.6004000;1.6150000;1.5951000;1.6122000;0
20130930;000000;1.6124000;1.6260000;1.6003000;1.6012000;0
20131007;000000;1.6021000;1.6124000;1.5910000;1.5974000;0
20131014;000000;1.5976000;1.6225000;1.5890000;1.6173000;0
20131021;000000;1.6172000;1.6257000;1.6112000;1.6160000;0
20131028;000000;1.6160000;1.6208000;1.5904000;1.5921000;0
20131104;000000;1.5921000;1.6118000;1.5900000;1.5997000;0
20131111;000000;1.5998000;1.6135000;1.5850000;1.6122000;0
20131118;000000;1.6123000;1.6226000;1.6055000;1.6229000;0
20131125;000000;1.6228000;1.6384000;1.6129000;1.6374000;0
20131202;000000;1.6375000;1.6443000;1.6288000;1.6327000;0
20131209;000000;1.6328000;1.6466000;1.6259000;1.6288000;0
20131216;000000;1.6286000;1.6484000;1.6213000;1.6337000;0
20131223;000000;1.6336000;1.6578000;1.6296000;1.6466000;0
20131230;000000;1.6466000;1.6603000;1.6391000;1.6395000;0
20140106;000000;1.6395000;1.6517000;1.6333000;1.6482000;0
20140113;000000;1.6481000;1.6508000;1.6305000;1.6418000;0
20140120;000000;1.6417000;1.6668000;1.6394000;1.6480000;0
20140127;000000;1.6481000;1.6625000;1.6422000;1.6426000;0
20140203;000000;1.6425000;1.6444000;1.6248000;1.6398000;507063
20140210;000000;1.6400000;1.6756000;1.6379000;1.6768000;0
20140217;000000;1.6768000;1.6822000;1.6607000;1.6616000;0
20140224;000000;1.6619000;1.6769000;1.6579000;1.6720000;0
20140303;000000;1.6724000;1.6786000;1.6638000;1.6731000;0
20140310;000000;1.6733000;1.6742000;1.6564000;1.6633000;0
20140317;000000;1.6634000;1.6666000;1.6471000;1.6483000;0
20140324;000000;1.6484000;1.6651000;1.6456000;1.6657000;0
20140331;000000;1.6657000;1.6684000;1.6549000;1.6574000;0
20140407;000000;1.6574000;1.6820000;1.6561000;1.6715000;0
20140414;000000;1.6709000;1.6842000;1.6656000;1.6782000;0
20140421;000000;1.6782000;1.6840000;1.6758000;1.6798000;0
20140428;000000;1.6795000;1.6920000;1.6775000;1.6873000;0
20140505;000000;1.6871000;1.6986000;1.6828000;1.6843000;0
20140512;000000;1.6840000;1.6903000;1.6729000;1.6812000;0
20140519;000000;1.6813000;1.6921000;1.6798000;1.6816000;0
20140526;000000;1.6816000;1.6882000;1.6689000;1.6760000;0
20140602;000000;1.6760000;1.6845000;1.6694000;1.6805000;0
20140609;000000;1.6805000;1.6992000;1.6737000;1.6972000;0
20140616;000000;1.6972000;1.7063000;1.6918000;1.7016000;0
20140623;000000;1.7018000;1.7051000;1.6948000;1.7026000;0
20140630;000000;1.7023000;1.7180000;1.7004000;1.7152000;0
20140707;000000;1.7154000;1.7168000;1.7081000;1.7118000;0
20140714;000000;1.7119000;1.7191000;1.7032000;1.7086000;0
20140721;000000;1.7087000;1.7099000;1.6957000;1.6975000;0
20140728;000000;1.6975000;1.7001000;1.6808000;1.6825000;0
20140804;000000;1.6824000;1.6888000;1.6762000;1.6775000;0
20140811;000000;1.6774000;1.6844000;1.6653000;1.6688000;0
20140818;000000;1.6719000;1.6738000;1.6557000;1.6543000;0
20140825;000000;1.6543000;1.6614000;1.6510000;1.6592000;0
20140901;000000;1.6593000;1.6644000;1.6274000;1.6195000;0
20140908;000000;1.6195000;1.6277000;1.6050000;1.6271000;0
20140915;000000;1.6270000;1.6525000;1.6159000;1.6294000;0
